"filename", "language", "JSON", "Markdown", "Ignore", "JSON with Comments", "Python", "C#", "C++", "XML", "Java", "Shell Script", "Go", "C", "YAML", "Batch", "pip requirements", "Docker", "reStructuredText", "Properties", "JavaScript", "HTML", "Go Checksum File", "Go Module File", "TypeScript", "TypeScript React", "CSS", "comment", "blank", "total"
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/simpleini/ConvertUTF.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 365, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 37, 540
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/simpleini/ConvertUTF.h", "C++", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 17, 152
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/simpleini/README.md", "Markdown", 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 151
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/simpleini/simpleini.h", "C++", 0, 0, 0, 0, 0, 0, 2135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1192, 180, 3507
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/simpleini/snippets.cpp", "C++", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 27, 125
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/fast_mutex.h", "C++", 0, 0, 0, 0, 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 16, 249
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/filesystem.cpp", "C++", 0, 0, 0, 0, 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 53, 261
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/filesystem.h", "C++", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 55
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/platform.cpp", "C++", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 56
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/platform.h", "C++", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 23
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2.h", "C++", 0, 0, 0, 0, 0, 0, 353, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 429, 102, 884
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/bitstate.cc", "C++", 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 46, 381
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/compile.cc", "C++", 0, 0, 0, 0, 0, 0, 776, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 169, 1145
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/dfa.cc", "C++", 0, 0, 0, 0, 0, 0, 1251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 639, 223, 2113
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/filtered_re2.cc", "C++", 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 108
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/filtered_re2.h", "C++", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 24, 110
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/mimics_pcre.cc", "C++", 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 29, 186
"/Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/support/re2/nfa.cc", "C++", 0, 0, 0, 0, 0, 0, 523, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 100, 758
